ASX listed companies as at Thu May 17 19:45:06 AEST 2018

Company name,ASX code,GICS industry group
"CENTREX METALS LIMITED","CXM","Materials"
"CENTURIA CAPITAL GROUP","CNI","Diversified Financials"
"CENTURIA INDUSTRIAL REIT","CIP","Real Estate"
"CENTURIA METROPOLITAN REIT","CMA","Real Estate"
"CENTURY AUSTRALIA INVESTMENTS LIMITED","CYA","Diversified Financials"
"CERVANTES CORPORATION LIMITED","CVS","Materials"
"CFOAM LIMITED","CFO","Capital Goods"
"CHALICE GOLD MINES LIMITED","CHN","Materials"
"CHALLENGER ENERGY LIMITED","CEL","Energy"
"CHALLENGER LIMITED","CGF","Diversified Financials"
"CHALLENGER MILLENNIUM SERIES 2007-1E TRUST","CHJ","Not Applic"
"CHALLENGER MILLENNIUM SERIES 2007-2L TRUST","CHU","Not Applic"
"CHALMERS LIMITED","CHR","Transportation"
"CHAMPION IRON LIMITED","CIA","Materials"
"CHANGE FINANCIAL LIMITED","CCA","Software & Services"
"CHANT WEST HOLDINGS LIMITED","CWL","Software & Services"
"CHAPMANS LIMITED","CHP","Diversified Financials"
"CHARTER HALL GROUP","CHC","Real Estate"
"CHARTER HALL LONG WALE REIT","CLW","Real Estate"
"CHARTER HALL RETAIL REIT","CQR","Real Estate"
"CHESSER RESOURCES LIMITED","CHZ","Materials"
"CHINA CONSTRUCTION BANK CORPORATION","CCB","Not Applic"
"CHINA DAIRY CORPORATION LIMITED","CDC","Food, Beverage & Tobacco"
"CHINA MAGNESIUM CORPORATION LIMITED","CMC","Materials"
"CHINA TRACK LIMITED","CTC","Capital Goods"
"CHONGHERR INVESTMENTS LTD","CDH","Materials"
"CHORUS LIMITED","CNU","Telecommunication Services"
"CI RESOURCES LIMITED","CII","Materials"
"CIMIC GROUP LIMITED","CIM","Capital Goods"
"CIRRALTO LIMITED","CRO","Software & Services"
"CIRRUS NETWORKS HOLDINGS LIMITED","CNW","Software & Services"
"CITIGOLD CORPORATION LIMITED","CTO","Materials"
"CIVMEC LIMITED","CVL","Class Pend"
"CLANCY EXPLORATION LIMITED","CLY","Materials"
"CLARIUS GROUP LIMITED","CND","Commercial & Professional Services"
"CLASS LIMITED","CL1","Software & Services"
"CLASSIC MINERALS LTD","CLZ","Materials"
"CLEAN SEAS SEAFOOD LIMITED","CSS","Food, Beverage & Tobacco"
"CLEAN TEQ HOLDINGS LIMITED","CLQ","Commercial & Professional Services"
"CLEANAWAY WASTE MANAGEMENT LIMITED","CWY","Commercial & Professional Services"
"CLEARVIEW WEALTH LIMITED","CVW","Diversified Financials"
"CLEARVUE TECHNOLOGIES LIMITED","CPV","Capital Goods"
"CLEVELAND MINING COMPANY LIMITED","CDG","Materials"
"CLIME CAPITAL LIMITED","CAM","Not Applic"
"CLIME INVESTMENT MANAGEMENT LTD","CIW","Diversified Financials"
"CLINUVEL PHARMACEUTICALS LIMITED","CUV","Pharmaceuticals, Biotechnology & Life Sciences"
"CLOVER CORPORATION LIMITED","CLV","Health Care Equipment & Services"
"CMI LIMITED.","CMI","Capital Goods"
"CML GROUP LIMITED","CGR","Commercial & Professional Services"
"COASSETS LIMITED.","CA8","Software & Services"
"COBALT BLUE HOLDINGS LIMITED","COB","Materials"
"COCA-COLA AMATIL LIMITED","CCL","Food, Beverage & Tobacco"
"COCHLEAR LIMITED","COH","Health Care Equipment & Services"
"CODAN LIMITED","CDA","Technology Hardware & Equipment"
"COGSTATE LTD","CGS","Health Care Equipment & Services"
"COHIBA MINERALS LIMITED","CHK","Materials"
"COKAL LIMITED","CKA","Materials"
"COLLABORATE CORPORATION LIMITED","CL8","Software & Services"
"COLLECTION HOUSE LIMITED","CLH","Commercial & Professional Services"
"COLLERINA COBALT LIMITED","CLL","Materials"
"COLLINS FOODS LIMITED","CKF","Consumer Services"
"COMET RESOURCES LIMITED","CRL","Materials"
"COMET RIDGE LIMITED","COI","Energy"
"COMMONWEALTH BANK OF AUSTRALIA.","CBA","Banks"
"COMMSCHOICE GROUP LIMITED","CCG","Software & Services"
"COMOPS LIMITED","COM","Software & Services"
"COMPAGNIE DE FINANCEMENT FONCIER","CFF","Not Applic"
"COMPUMEDICS LIMITED","CMP","Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.","CPU","Software & Services"
"CONCENTRATED LEADERS FUND LIMITED","CLF","Diversified Financials"
"CONDOR BLANCO MINES LIMITED","CDB","Materials"
"CONICO LTD","CNJ","Materials"
"CONNECTED IO LIMITED","CIO","Technology Hardware & Equipment"
"CONNEXION MEDIA LIMITED","CXZ","Software & Services"
"CONSOLIDATED OPERATIONS GROUP LIMITED","COG","Not Applic"
"CONSOLIDATED TIN MINES LIMITED","CSD","Materials"
"CONSOLIDATED ZINC LIMITED","CZL","Materials"
"CONSTELLATION RESOURCES LIMITED","CR1","Class Pend"
"CONTACT ENERGY LIMITED","CEN","Utilities"
"CONTANGO ASSET MANAGEMENT LIMITED","CGA","Diversified Financials"
"CONTANGO GLOBAL GROWTH LIMITED","CQG","Class Pend"
"CONTANGO INCOME GENERATOR  LIMITED","CIE","Not Applic"
"CONTRARIAN VALUE FUND LIMITED","CVF","Not Applic"
"CONVENIENCE RETAIL REIT","CRR","Real Estate"
"COOPER ENERGY LIMITED","COE","Energy"
"COPPER MOUNTAIN MINING CORPORATION","C6C","Materials"
"COPPER STRIKE LIMITED","CSE","Materials"
"COPPERMOLY LIMITED","COY","Materials"
"CORAZON MINING LIMITED","CZN","Materials"
"CORDISH DIXON PRIVATE EQUITY FUND I","CD1","Not Applic"
"CORDISH DIXON PRIVATE EQUITY FUND II","CD2","Not Applic"
"CORDISH DIXON PRIVATE EQUITY FUND III","CD3","Not Applic"
"CORE EXPLORATION LIMITED","CXO","Materials"
"CORIZON LIMITED","CIZ","Not Applic"
"CORONA RESOURCES LIMITED","CNA","Class Pend"
"CORPORATE TRAVEL MANAGEMENT LIMITED","CTD","Consumer Services"
"CORUM GROUP LIMITED","COO","Software & Services"
"COSTA GROUP HOLDINGS LIMITED","CGC","Food, Beverage & Tobacco"
"COUGAR METALS NL","CGM","Materials"
"COUNTPLUS LIMITED","CUP","Commercial & Professional Services"
"COUNTY INTERNATIONAL LIMITED","CCJ","Energy"
"COVATA LIMITED","CVT","Software & Services"
"COVENTRY GROUP LIMITED","CYG","Capital Goods"
"COZIRON RESOURCES LIMITED","CZR","Materials"
"CPT GLOBAL LIMITED","CGO","Software & Services"
"CRADLE RESOURCES LIMITED","CXX","Materials"
"CRATER GOLD MINING LIMITED","CGN","Materials"
"CREDIBLE LABS INC.","CRD","Diversified Financials"
"CREDIT CORP GROUP LIMITED","CCP","Diversified Financials"
"CRESO PHARMA LIMITED","CPH","Pharmaceuticals, Biotechnology & Life Sciences"
"CROMWELL PROPERTY GROUP","CMW","Real Estate"
"CROPLOGIC LIMITED","CLI","Commercial & Professional Services"
"CROSSLAND STRATEGIC METALS LTD","CUX","Materials"
"CROWD MOBILE LIMITED","CM8","Media"
"CROWDSPARK LTD","CSK","Media"
"CROWN RESORTS LIMITED","CWN","Consumer Services"
"CRUSADE ABS SERIES 2015-1 TRUST","CUH","Not Applic"
"CRUSADE ABS SERIES 2016-1 TRUST","CU1","Not Applic"
"CRUSADE ABS SERIES 2017-1 TRUST","CU2","Not Applic"
"CRUSADER RESOURCES LIMITED","CAS","Materials"
"CRYOSITE LIMITED","CTE","Pharmaceuticals, Biotechnology & Life Sciences"
"CSG LIMITED","CSV","Software & Services"
"CSL LIMITED","CSL","Pharmaceuticals, Biotechnology & Life Sciences"
"CSR LIMITED","CSR","Materials"
"CTI LOGISTICS LIMITED","CLX","Transportation"
"CUDECO LIMITED","CDU","Materials"
"CUE ENERGY RESOURCES LIMITED","CUE","Energy"
"CULLEN RESOURCES LIMITED","CUL","Materials"
"CV CHECK LTD","CV1","Software & Services"
"CVC LIMITED","CVC","Diversified Financials"
"CYBG PLC","CYB","Banks"
"CYCLIQ GROUP LTD","CYQ","Consumer Durables & Apparel"
"CYCLOPHARM LIMITED","CYC","Health Care Equipment & Services"
"CYGNUS GOLD LIMITED","CY5","Materials"
"CYNATA THERAPEUTICS LIMITED","CYP","Pharmaceuticals, Biotechnology & Life Sciences"
"DACIAN GOLD LIMITED","DCN","Materials"
"DAMPIER GOLD LIMITED","DAU","Materials"
"DANAKALI LIMITED","DNK","Materials"
"DARK HORSE RESOURCES LIMITED","DHR","Materials"
"DART MINING NL","DTM","Materials"
"DATA#3 LIMITED","DTL","Software & Services"
"DATADOT TECHNOLOGY LIMITED","DDT","Automobiles & Components"
"DATELINE RESOURCES LIMITED","DTR","Materials"
"DAVENPORT RESOURCES LIMITED","DAV","Materials"
"DAWINE LTD","DW8","Retailing"
"DE GREY MINING LIMITED","DEG","Materials"
"DE.MEM LIMITED","DEM","Utilities"
"DECIMAL SOFTWARE LIMITED","DSX","Software & Services"
"DECMIL GROUP LIMITED","DCG","Capital Goods"
"DEEP YELLOW LIMITED","DYL","Energy"
"DELECTA LIMITED","DLC","Retailing"
"DEMPSEY MINERALS LIMITED","DMI","Materials"
"DEPARTMENT 13 INTERNATIONAL LTD","D13","Capital Goods"
"DESANE GROUP HOLDINGS LIMITED","DGH","Real Estate"
"DEVEX RESOURCES LIMITED","DEV","Energy"
"DEVINE LIMITED","DVN","Real Estate"
"DEXUS","DXS","Real Estate"
"DGO GOLD LIMITED","DGO","Materials"
"DGR GLOBAL LIMITED","DGR","Materials"
"DIATREME RESOURCES LIMITED","DRX","Materials"
"DICKER DATA LIMITED","DDR","Technology Hardware & Equipment"
"DIGIMATIC GROUP LIMITED","DMC","Software & Services"
"DIGITALX LIMITED","DCC","Software & Services"
"DIMERIX LIMITED","DXB","Pharmaceuticals, Biotechnology & Life Sciences"
"DIPLOMA GROUP LIMITED","DGX","Capital Goods"
"DISCOVERY AFRICA LIMITED","DAF","Materials"
"DIVERSE SECURITY NEEDS LIMITED","PRZ","Class Pend"
"DIVERSIFIED UNITED INVESTMENT LIMITED","DUI","Diversified Financials"
"DJERRIWARRH INVESTMENTS LIMITED","DJW","Diversified Financials"
"DOMACOM LIMITED","DCL","Diversified Financials"
"DOMAIN HOLDINGS AUSTRALIA LIMITED.","DHG","Software & Services"
"DOME GOLD MINES LIMITED","DME","Materials"
"DOMINO'S PIZZA ENTERPRISES LIMITED","DMP","Consumer Services"
"DONACO INTERNATIONAL LIMITED","DNA","Consumer Services"
"DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED","DFM","Food, Beverage & Tobacco"
"DORAY MINERALS LIMITED","DRM","Materials"
"DORIEMUS PLC","DOR","Energy"
"DORSAVI LTD","DVL","Pharmaceuticals, Biotechnology & Life Sciences"
"DOTZ NANO LIMITED","DTZ","Semiconductors & Semiconductor Equipment"
"DOWNER EDI LIMITED","DOW","Commercial & Professional Services"
"DRAGON MINING LIMITED","DRA","Materials"
"DRAGON MOUNTAIN GOLD LIMITED","DMG","Materials"
"DRAGONTAIL SYSTEMS LIMITED","DTS","Software & Services"
"DRAIG RESOURCES LIMITED","DRG","Materials"
"DRAKE RESOURCES LIMITED","DRK","Materials"
"DREAMSCAPE NETWORKS LIMITED","DN8","Software & Services"
"DRIVER AUSTRALIA FOUR TRUST","DAZ","Not Applic"
"DRIVER AUSTRALIA MASTER TRUST","DAM","Not Applic"
"DRIVER AUSTRALIA THREE TRUST","DAE","Not Applic"
"DRIVER AUSTRALIA TWO TRUST","DAQ","Not Applic"
"DRONESHIELD LIMITED","DRO","Technology Hardware & Equipment"
"DROPSUITE LIMITED","DSE","Software & Services"
"DTI GROUP LTD","DTI","Technology Hardware & Equipment"
"DUBBER CORPORATION LIMITED","DUB","Software & Services"
"DUKETON MINING LIMITED","DKM","Materials"
"DULUXGROUP LIMITED","DLX","Materials"
"DUXTON BROADACRE FARMS LIMITED","DBF","Diversified Financials"
"DUXTON WATER LIMITED","D2O","Utilities"
"DWS LIMITED","DWS","Software & Services"
"DYNASTY RESOURCES LIMITED","DMA","Materials"
"E2 METALS LIMITED","E2M","Materials"
"EAGLE HEALTH HOLDINGS LIMITED","EHH","Household & Personal Products"
"EAGLE MOUNTAIN MINING LIMITED","EM2","Materials"
"EAST ENERGY RESOURCES LIMITED","EER","Energy"
"EAST WEST ENERGY LIMITED","EWE","Energy"
"EASTERN GOLDFIELDS LIMITED","EGS","Materials"
"EASTERN IRON LIMITED","EFE","Materials"
"EASTON INVESTMENTS LIMITED","EAS","Diversified Financials"
"EBOS GROUP LIMITED","EBO","Health Care Equipment & Services"
"ECARGO HOLDINGS LIMITED","ECG","Commercial & Professional Services"
"ECHO RESOURCES LIMITED","EAR","Materials"
"ECLIPSE METALS LIMITED.","EPM","Energy"
"ECLIPX GROUP LIMITED","ECX","Diversified Financials"
"EDEN HEALTH INDUSTRY HOLDINGS LIMITED","ETK","Class Pend"
"EDEN INNOVATIONS LTD","EDE","Energy"
"EGAN STREET RESOURCES LIMITED","EGA","Materials"
"EHR RESOURCES LIMITED","EHX","Materials"
"EILDON CAPITAL LIMITED","EDC","Diversified Financials"
"ELANOR INVESTORS GROUP","ENN","Consumer Services"
"ELANOR RETAIL PROPERTY FUND","ERF","Real Estate"
"ELDERS LIMITED","ELD","Food, Beverage & Tobacco"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","EOS","Capital Goods"
"ELEMENT 25 LIMITED","E25","Materials"
"ELEMENTOS LIMITED","ELT","Materials"
"ELIXINOL GLOBAL LIMITED","EXL","Household & Personal Products"
"ELIXIR PETROLEUM LIMITED","EXR","Energy"
"ELK PETROLEUM LIMITED","ELK","Energy"
"ELLERSTON ASIAN INVESTMENTS LIMITED","EAI","Not Applic"
"ELLERSTON GLOBAL INVESTMENTS LIMITED","EGI","Not Applic"
"ELLEX MEDICAL LASERS LIMITED","ELX","Health Care Equipment & Services"
"ELMO SOFTWARE LIMITED","ELO","Software & Services"
"ELSIGHT LIMITED","ELS","Technology Hardware & Equipment"
"EMBELTON LIMITED","EMB","Capital Goods"
"EMECO HOLDINGS LIMITED","EHL","Capital Goods"
"EMERALD RESOURCES NL","EMR","Materials"
"EMERGE GAMING LIMITED","EM1","Materials"
"EMERGENT RESOURCES LIMITED","EMG","Materials"
"EMERGING MARKETS MASTERS FUND","EMF","Not Applic"
"EMIRATES NBD PJSC","EMI","Not Applic"
"EML PAYMENTS LIMITED","EML","Diversified Financials"
"EMMERSON RESOURCES LIMITED","ERM","Materials"
"EMPEROR ENERGY LIMITED","EMP","Energy"
"EMPIRE ENERGY GROUP LIMITED","EEG","Energy"
"EMPIRE OIL & GAS NL","EGO","Energy"
"EMPIRE RESOURCES LIMITED","ERL","Materials"
"EMPIRED LTD","EPD","Software & Services"
"EMU NL","EMU","Materials"
"ENCOUNTER RESOURCES LIMITED","ENR","Materials"
"ENEABBA GAS LIMITED","ENB","Utilities"
"ENEGEX LIMITED","ENX","Energy"
"ENERGY ACTION LIMITED","EAX","Commercial & Professional Services"
"ENERGY METALS LTD","EME","Energy"
"ENERGY ONE LIMITED","EOL","Software & Services"
"ENERGY RESOURCES OF AUSTRALIA LIMITED","ERA","Energy"
"ENERGY TECHNOLOGIES LIMITED","EGY","Capital Goods"
"ENERGY WORLD CORPORATION LTD","EWC","Utilities"
"ENERO GROUP LIMITED","EGG","Media"
"ENGAGE:BDR LIMITED","EN1","Software & Services"
"ENGENCO LIMITED","EGN","Capital Goods"
"ENHANCED OIL & GAS RECOVERY LIMITED","EOR","Energy"
"ENICE HOLDING COMPANY LIMITED","ENC","Telecommunication Services"
"ENNOX GROUP LTD","EXO","Diversified Financials"
"ENSOGO LIMITED","E88","Retailing"
"ENSURANCE LTD","ENA","Insurance"
"ENTEK ENERGY LTD","ETE","Energy"
"ENTERPRISE METALS LIMITED","ENT","Materials"
"ENVIROMISSION LIMITED","EVM","Utilities"
"ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED","ESI","Commercial & Professional Services"
"ENVIRONMENTAL GROUP LIMITED (THE)","EGL","Capital Goods"
"ENVIROSUITE LIMITED","EVS","Software & Services"
"EON NRG LIMITED","E2E","Energy"
"EPHRAIM RESOURCES LIMITED","EPA","Not Applic"
"EQT HOLDINGS LIMITED","EQT","Diversified Financials"
"EQUATORIAL RESOURCES LIMITED","EQX","Materials"
"EQUUS MINING LIMITED","EQE","Materials"
"ERM POWER LIMITED","EPW","Utilities"
"ESENSE-LAB LTD","ESE","Pharmaceuticals, Biotechnology & Life Sciences"
"ESERVGLOBAL LIMITED","ESV","Software & Services"
"ESPERANCE MINERALS LIMITED","ESM","Materials"
"ESPORTS MOGUL ASIA PACIFIC LIMITED","ESH","Software & Services"
"ESTIA HEALTH LIMITED","EHE","Health Care Equipment & Services"
"ESTRELLA RESOURCES LIMITED","ESR","Materials"
"ETHERSTACK PLC","ESK","Software & Services"
"EUMUNDI GROUP LIMITED","EBG","Consumer Services"
"EUREKA GROUP HOLDINGS LIMITED","EGH","Real Estate"
"EUROPEAN COBALT LTD","EUC","Materials"
"EUROPEAN LITHIUM LIMITED","EUR","Materials"
"EUROPEAN METALS HOLDINGS LIMITED","EMH","Materials"
"EUROZ LIMITED","EZL","Diversified Financials"
"EVANS & PARTNERS ASIA FUND","EAF","Not Applic"
"EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND","EFF","Class Pend"
"EVANS & PARTNERS GLOBAL DISRUPTION FUND","EGD","Not Applic"
"EVANS DIXON LIMITED","ED1","Diversified Financials"
"EVE INVESTMENTS LIMITED","EVE","Diversified Financials"
"EVENT HOSPITALITY AND ENTERTAINMENT LTD","EVT","Media"
"EVOLUTION MINING LIMITED","EVN","Materials"
"EVOLVE EDUCATION GROUP LIMITED","EVO","Consumer Services"
"EVZ LIMITED","EVZ","Capital Goods"
"EXCELSIOR GOLD LIMITED","EXG","Materials"
"EXPERIENCE CO LIMITED","EXP","Consumer Services"
"EXPLAURUM LIMITED","EXU","Materials"
"FACTOR THERAPEUTICS LIMITED","FTT","Pharmaceuticals, Biotechnology & Life Sciences"
"FAIRFAX MEDIA LIMITED","FXJ","Media"
"FAMILY ZONE CYBER SAFETY LIMITED","FZO","Software & Services"
"FAR LIMITED","FAR","Energy"
"FARM PRIDE FOODS LIMITED","FRM","Food, Beverage & Tobacco"
"FARMAFORCE LIMITED","FFC","Health Care Equipment & Services"
"FASTBRICK ROBOTICS LTD","FBR","Capital Goods"
"FASTER ENTERPRISES LTD","FE8","Real Estate"
"FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","FPC","Not Applic"
"FAT PROPHETS GLOBAL PROPERTY FUND","FPP","Not Applic"
"FATFISH INTERNET GROUP LTD","FFG","Diversified Financials"
"FE INVESTMENTS GROUP LIMITED","FEI","Technology Hardware & Equipment"
"FE LIMITED","FEL","Materials"
"FERRUM CRESCENT LIMITED","FCR","Materials"
"FERTOZ LIMITED","FTZ","Materials"
"FFI HOLDINGS LIMITED","FFI","Food, Beverage & Tobacco"
"FIDUCIAN GROUP LIMITED","FID","Diversified Financials"
"FIELD SOLUTIONS HOLDINGS LIMITED","FSG","Telecommunication Services"
"FIN RESOURCES LIMITED","FIN","Energy"
"FINBAR GROUP LIMITED","FRI","Real Estate"
"FINDERS RESOURCES LIMITED","FND","Materials"
"FINTECH CHAIN LIMITED","FTC","Software & Services"
"FIRST COBALT CORP.","FCC","Materials"
"FIRST GRAPHENE LIMITED","FGR","Materials"
"FIRST GROWTH FUNDS LIMITED","FGF","Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST SERIES 1-2007","FMA","Not Applic"
"FIRSTWAVE CLOUD TECHNOLOGY LIMITED","FCT","Software & Services"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH","Health Care Equipment & Services"
"FITZROY RIVER CORPORATION LTD","FZR","Energy"
"FLAGSHIP INVESTMENTS LIMITED","FSI","Diversified Financials"
"FLAMINGO AI LIMITED","FGO","Software & Services"
"FLEETWOOD CORPORATION LIMITED","FWD","Consumer Durables & Apparel"
"FLETCHER BUILDING LIMITED","FBU","Materials"
"FLEXIGROUP LIMITED","FXL","Diversified Financials"
"FLEXIROAM LIMITED","FRX","Telecommunication Services"
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT","Consumer Services"
"FLINDERS MINES LIMITED","FMS","Materials"
"FLUENCE CORPORATION LIMITED","FLC","Capital Goods"
"FOCUS MINERALS LTD","FML","Materials"
"FOLKESTONE EDUCATION TRUST","FET","Real Estate"
"FOLKESTONE LIMITED","FLK","Real Estate"
"FONTERRA SHAREHOLDERS' FUND","FSF","Food, Beverage & Tobacco"
"FORAGER AUSTRALIAN SHARES FUND","FOR","Not Applic"
"FORCE COMMODITIES LIMITED","4CE","Materials"
"FORTE CONSOLIDATED LIMITED","FRC","Materials"
"FORTESCUE METALS GROUP LTD","FMG","Materials"
"FORTUNE ASIA GROUP LTD","FYA","Materials"
"FRASER RANGE METALS GROUP LTD","FRN","Materials"
"FREEDOM FOODS GROUP LIMITED","FNP","Food, Beverage & Tobacco"
"FREEDOM INSURANCE GROUP LTD","FIG","Insurance"
"FREEDOM OIL AND GAS LTD","FDM","Energy"
"FREEHILL MINING LIMITED.","FHS","Materials"
"FREELANCER LIMITED","FLN","Software & Services"
"FREMONT PETROLEUM CORPORATION LIMITED","FPL","Energy"
"FRONTIER CAPITAL GROUP LIMITED","FCG","Consumer Services"
"FRONTIER DIAMONDS LTD","FDX","Materials"
"FRONTIER DIGITAL VENTURES LIMITED","FDV","Software & Services"
"FRONTIER RESOURCES LIMITED","FNT","Materials"
"FSA GROUP LIMITED","FSA","Diversified Financials"
"FUNTASTIC LIMITED","FUN","Retailing"
"FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED","FGG","Not Applic"
"FUTURE GENERATION INVESTMENT COMPANY LIMITED","FGX","Not Applic"
"FYI RESOURCES LIMITED","FYI","Materials"
"G MEDICAL INNOVATIONS HOLDINGS LIMITED","GMV","Health Care Equipment & Services"
"G.U.D. HOLDINGS LIMITED","GUD","Automobiles & Components"
"G8 EDUCATION LIMITED","GEM","Consumer Services"
"GAGE ROADS BREWING CO LIMITED","GRB","Food, Beverage & Tobacco"
"GALAXY RESOURCES LIMITED","GXY","Materials"
"GALE PACIFIC LIMITED","GAP","Consumer Durables & Apparel"
"GALENA MINING LIMITED","G1A","Materials"
"GALILEE ENERGY LIMITED","GLL","Energy"
"GALILEO MINING LTD","GAL","Class Pend"
"GARDA CAPITAL GROUP","GCM","Not Applic"
"GARDA DIVERSIFIED PROPERTY FUND","GDF","Real Estate"
"GAS2GRID LIMITED","GGX","Energy"
"GASCOYNE RESOURCES LIMITED","GCY","Materials"
"GATEWAY LIFESTYLE GROUP","GTY","Real Estate"
"GATEWAY MINING LIMITED","GML","Materials"
"GAZAL CORPORATION LIMITED","GZL","Consumer Durables & Apparel"
"GBM GOLD LTD","GBM","Materials"
"GBM RESOURCES LIMITED","GBZ","Materials"
"GBST HOLDINGS LIMITED","GBT","Software & Services"
"GDI PROPERTY GROUP","GDI","Real Estate"
"GENERA BIOSYSTEMS LIMITED","GBI","Pharmaceuticals, Biotechnology & Life Sciences"
"GENERATION DEVELOPMENT GROUP LIMITED","GDG","Insurance"
"GENESIS ENERGY LIMITED","GNE","Utilities"
"GENESIS MINERALS LIMITED","GMD","Materials"
"GENESIS RESOURCES LIMITED","GES","Materials"
"GENETIC SIGNATURES LIMITED","GSS","Pharmaceuticals, Biotechnology & Life Sciences"
"GENETIC TECHNOLOGIES LIMITED","GTG","Pharmaceuticals, Biotechnology & Life Sciences"
"GENEX POWER LIMITED","GNX","Utilities"
"GENTRACK GROUP LIMITED","GTK","Software & Services"
"GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","GMA","Banks"
"GEOOP LIMITED","GEO","Class Pend"
"GEOPACIFIC RESOURCES LTD","GPR","Materials"
"GETSWIFT LIMITED","GSW","Software & Services"
"GI DYNAMICS, INC","GID","Health Care Equipment & Services"
"GINDALBIE METALS LTD","GBG","Materials"
"GLADIATOR RESOURCES LIMITED","GLA","Materials"
"GLENNON SMALL COMPANIES LIMITED","GC1","Not Applic"
"GLG CORP LTD","GLE","Consumer Durables & Apparel"
"GLOBAL CONSTRUCTION SERVICES LIMITED","GCS","Capital Goods"
"GLOBAL ENERGY VENTURES LIMITED","GEV","Energy"
"GLOBAL FORTUNE INVESTMENT LIMITED","GFI","Materials"
"GLOBAL GEOSCIENCE LIMITED","GSC","Materials"
"GLOBAL HEALTH LIMITED","GLH","Health Care Equipment & Services"
"GLOBAL MASTERS FUND LIMITED","GFL","Diversified Financials"
"GLOBAL PETROLEUM LIMITED","GBP","Energy"
"GLOBAL VALUE FUND LIMITED","GVF","Not Applic"
"GLOBE INTERNATIONAL LIMITED","GLB","Consumer Durables & Apparel"
"GLOBE METALS & MINING LIMITED","GBE","Materials"
"GME RESOURCES LIMITED","GME","Materials"
"GO ENERGY GROUP LIMITED","GOE","Capital Goods"
"GOCONNECT LIMITED","GCN","Software & Services"
"GODFREYS GROUP LIMITED","GFY","Retailing"
"GOLD MOUNTAIN LIMITED","GMN","Materials"
"GOLD ROAD RESOURCES LIMITED","GOR","Materials"
"GOLDEN CROSS RESOURCES LTD","GCR","Materials"
"GOLDEN DEEPS LIMITED.","GED","Materials"
"GOLDEN MILE RESOURCES LTD","G88","Materials"
"GOLDEN RIM RESOURCES LTD","GMR","Materials"
"GOLDFIELDS MONEY LIMITED","GMY","Banks"
"GOODMAN GROUP","GMG","Real Estate"
"GOOROO VENTURES LIMITED","GOO","Software & Services"
"GOWING BROS LIMITED","GOW","Diversified Financials"
"GPS ALLIANCE HOLDINGS LIMITED","GPS","Real Estate"
"GPT GROUP","GPT","Real Estate"
"GR ENGINEERING SERVICES LIMITED","GNG","Materials"
"GRAINCORP LIMITED","GNC","Food, Beverage & Tobacco"
"GRAND GULF ENERGY LIMITED","GGE","Energy"
"GRANDBRIDGE LIMITED","GBA","Diversified Financials"
"GRANGE RESOURCES LIMITED.","GRR","Materials"
"GRAPHEX MINING LIMITED","GPX","Materials"
"GREAT BOULDER RESOURCES LIMITED","GBR","Materials"
"GREAT WESTERN EXPLORATION LIMITED.","GTE","Materials"
"GREATCELL SOLAR LIMITED","GSL","Semiconductors & Semiconductor Equipment"
"GREENCROSS LIMITED","GXL","Retailing"
"GREENLAND MINERALS AND ENERGY LIMITED","GGG","Materials"
"GREENPOWER ENERGY LIMITED","GPP","Energy"
"GREENVALE ENERGY LIMITED","GRV","Energy"
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ","Real Estate"
"GRYPHON CAPITAL INCOME TRUST","GCI","Not Applic"
"GTI RESOURCES LIMITED","GTR","Materials"
"GTN LIMITED","GTN","Media"
"GULF MANGANESE CORPORATION LIMITED","GMC","Materials"
"GULLEWA LIMITED","GUL","Materials"
"GWA GROUP LIMITED.","GWA","Capital Goods"
"GWR GROUP LIMITED","GWR","Materials"
"HAIXI PHARMACEUTICAL INTERNATIONAL HOLDINGS LIMITED","HXP","Class Pend"
"HAMMER METALS LIMITED","HMX","Materials"
"HAMPTON HILL MINING NL","HHM","Materials"
"HANNANS LTD","HNR","Materials"
"HANSEN TECHNOLOGIES LIMITED","HSN","Software & Services"
"HARANGA RESOURCES LIMITED","HAR","Materials"
"HARDEY RESOURCES LIMITED","HDY","Materials"
"HARRIS TECHNOLOGY GROUP LIMITED","HT8","Retailing"
"HARVEY NORMAN HOLDINGS LIMITED","HVN","Retailing"
"HASTINGS TECHNOLOGY METALS LTD","HAS","Materials"
"HAVILAH RESOURCES LIMITED","HAV","Materials"
"HAWKLEY OIL AND GAS LIMITED","HOG","Energy"
"HAWKSTONE MINING LIMITED","HWK","Materials"
"HAWTHORN RESOURCES LIMITED","HAW","Materials"
"HAZER GROUP LIMITED","HZR","Materials"
